amount,status,date,fee_id,affiliate_id,created_at
2620,Pagado,1999-02-01,1,4,1977-05-01 00:00:00.000000000
20,Pagado,2001-12-01,1,4,2001-12-01 00:00:00.000000000
720,Pagado,2002-03-01,1,4,1999-03-01 00:00:00.000000000
1240,Pagado,2004-04-01,1,10,1999-03-01 00:00:00.000000000
2720,Pagado,1999-05-01,1,12,1977-05-01 00:00:00.000000000
1020,Pagado,1995-12-01,1,13,1987-07-01 00:00:00.000000000
280,Pagado,2001-04-01,1,17,2000-03-01 00:00:00.000000000
200,Pagado,2002-02-01,1,17,2001-05-01 00:00:00.000000000
200,Pagado,2002-12-01,1,17,2002-03-01 00:00:00.000000000
200,Pagado,2003-10-01,1,17,2003-01-01 00:00:00.000000000
200,Pagado,2004-08-01,1,17,2003-11-01 00:00:00.000000000
200,Pagado,2005-06-01,1,17,2004-09-01 00:00:00.000000000
200,Pagado,2006-04-01,1,17,2005-07-01 00:00:00.000000000
80,Pagado,2002-04-01,1,19,2002-01-01 00:00:00.000000000
3280,Pagado,2010-08-01,1,24,1997-01-01 00:00:00.000000000
3290,Pagado,2024-03-01,1,24,2010-09-01 00:00:00.000000000
200,Pagado,2000-12-01,1,27,2000-03-01 00:00:00.000000000
240,Pagado,2001-02-01,1,27,2000-03-01 00:00:00.000000000
420,Pagado,2002-11-01,1,27,2001-03-01 00:00:00.000000000
20,Pagado,2002-12-01,1,27,2002-12-01 00:00:00.000000000
100,Pagado,2003-05-01,1,27,2003-01-01 00:00:00.000000000
140,Pagado,2004-10-01,1,27,2004-04-01 00:00:00.000000000
40,Pagado,2004-12-01,1,27,2004-11-01 00:00:00.000000000
280,Pagado,2006-02-01,1,27,2005-01-01 00:00:00.000000000
620,Pagado,2003-09-01,1,28,2001-03-01 00:00:00.000000000
500,Pagado,2005-10-01,1,28,2003-10-01 00:00:00.000000000
40,Pagado,2005-12-01,1,28,2005-11-01 00:00:00.000000000
240,Pagado,2006-12-01,1,28,2006-01-01 00:00:00.000000000
100,Pagado,2007-05-01,1,28,2007-01-01 00:00:00.000000000
20,Pagado,2007-06-01,1,28,2007-06-01 00:00:00.000000000
40,Pagado,2007-08-01,1,28,2007-07-01 00:00:00.000000000
80,Pagado,2007-12-01,1,28,2007-09-01 00:00:00.000000000
60,Pagado,2008-03-01,1,28,2008-01-01 00:00:00.000000000
20,Pagado,2008-04-01,1,28,2008-04-01 00:00:00.000000000
20,Pagado,2008-05-01,1,28,2008-05-01 00:00:00.000000000
40,Pagado,2008-07-01,1,28,2008-06-01 00:00:00.000000000
20,Pagado,2001-12-01,1,29,2001-12-01 00:00:00.000000000
60,Pagado,2002-03-01,1,32,2002-01-01 00:00:00.000000000
40,Pagado,2002-05-01,1,32,2002-04-01 00:00:00.000000000
60,Pagado,2002-08-01,1,32,2002-06-01 00:00:00.000000000
80,Pagado,2002-12-01,1,32,2002-09-01 00:00:00.000000000
80,Pagado,2003-04-01,1,32,2003-01-01 00:00:00.000000000
100,Pagado,2003-09-01,1,32,2003-05-01 00:00:00.000000000
20,Pagado,2001-12-01,1,35,2001-12-01 00:00:00.000000000
2620,Pagado,1999-02-01,1,36,1977-05-01 00:00:00.000000000
1240,Pagado,2004-04-01,1,36,1999-03-01 00:00:00.000000000
6580,Pagado,2004-09-01,1,40,1977-05-01 00:00:00.000000000
2610,Pagado,1999-02-01,1,41,1977-06-01 00:00:00.000000000
620,Pagado,2001-09-01,1,41,1999-03-01 00:00:00.000000000
280,Pagado,2002-11-01,1,41,2001-10-01 00:00:00.000000000
160,Pagado,2003-07-01,1,41,2002-12-01 00:00:00.000000000
40,Pagado,2003-09-01,1,41,2003-08-01 00:00:00.000000000
2610,Pagado,1999-02-01,1,47,1977-06-01 00:00:00.000000000
1260,Pagado,2004-05-01,1,47,1999-03-01 00:00:00.000000000
380,Pagado,1995-12-01,1,48,1977-06-01 00:00:00.000000000
2600,Pagado,1999-02-01,1,49,1977-06-01 00:00:00.000000000
460,Pagado,2001-01-01,1,49,1999-03-01 00:00:00.000000000
20,Pagado,2001-12-01,1,50,2001-12-01 00:00:00.000000000
20,Pagado,2001-12-01,1,61,2001-12-01 00:00:00.000000000
60,Pagado,2002-03-01,1,62,2002-01-01 00:00:00.000000000
80,Pagado,2002-07-01,1,62,2002-04-01 00:00:00.000000000
60,Pagado,2002-10-01,1,62,2002-08-01 00:00:00.000000000
80,Pagado,2003-02-01,1,62,2002-11-01 00:00:00.000000000
660,Pagado,2005-11-01,1,62,2003-03-01 00:00:00.000000000
2110,Pagado,1999-02-01,1,67,1978-06-01 00:00:00.000000000
1000,Pagado,2004-11-01,1,68,2000-10-01 00:00:00.000000000
1000,Pagado,2009-01-01,1,68,2004-12-01 00:00:00.000000000
200,Pagado,2009-11-01,1,68,2009-02-01 00:00:00.000000000
200,Pagado,2010-09-01,1,68,2009-12-01 00:00:00.000000000
260,Pagado,2011-10-01,1,68,2010-10-01 00:00:00.000000000
300,Pagado,2012-01-01,1,68,2011-11-01 00:00:00.000000000
200,Pagado,2001-06-01,1,70,2000-09-01 00:00:00.000000000
200,Pagado,2002-04-01,1,70,2001-07-01 00:00:00.000000000
80,Pagado,2002-08-01,1,70,2002-05-01 00:00:00.000000000
20,Pagado,2002-09-01,1,70,2002-09-01 00:00:00.000000000
100,Pagado,2004-12-01,1,70,2004-08-01 00:00:00.000000000
100,Pagado,2005-05-01,1,70,2005-01-01 00:00:00.000000000
80,Pagado,2005-09-01,1,70,2005-06-01 00:00:00.000000000
40,Pagado,2005-11-01,1,70,2005-10-01 00:00:00.000000000
180,Pagado,2006-06-01,1,70,2005-10-01 00:00:00.000000000
60,Pagado,2006-09-01,1,70,2006-07-01 00:00:00.000000000
60,Pagado,2006-12-01,1,70,2006-10-01 00:00:00.000000000
160,Pagado,2007-08-01,1,70,2007-01-01 00:00:00.000000000
20,Pagado,2007-09-01,1,70,2007-09-01 00:00:00.000000000
80,Pagado,2007-12-01,1,70,2007-09-01 00:00:00.000000000
100,Pagado,2008-05-01,1,70,2008-01-01 00:00:00.000000000
40,Pagado,2008-07-01,1,70,2008-06-01 00:00:00.000000000
20,Pagado,2008-08-01,1,70,2008-08-01 00:00:00.000000000
40,Pagado,2008-11-01,1,70,2008-10-01 00:00:00.000000000
60,Pagado,2009-02-01,1,70,2008-12-01 00:00:00.000000000
100,Pagado,2009-07-01,1,70,2009-03-01 00:00:00.000000000
100,Pagado,2009-12-01,1,70,2009-08-01 00:00:00.000000000
100,Pagado,2010-05-01,1,70,2010-01-01 00:00:00.000000000
60,Pagado,2010-08-01,1,70,2010-06-01 00:00:00.000000000
40,Pagado,2010-09-01,1,70,2010-08-01 00:00:00.000000000
60,Pagado,2010-12-01,1,70,2010-10-01 00:00:00.000000000
100,Pagado,2011-05-01,1,70,2011-01-01 00:00:00.000000000
40,Pagado,2011-07-01,1,70,2011-06-01 00:00:00.000000000
100,Pagado,2011-12-01,1,70,2011-08-01 00:00:00.000000000
240,Pagado,2012-12-01,1,70,2012-01-01 00:00:00.000000000
100,Pagado,2013-05-01,1,70,2013-01-01 00:00:00.000000000
140,Pagado,2013-12-01,1,70,2013-06-01 00:00:00.000000000
40,Pagado,2014-02-01,1,70,2014-01-01 00:00:00.000000000
60,Pagado,2014-05-01,1,70,2014-03-01 00:00:00.000000000
140,Pagado,2014-12-01,1,70,2014-06-01 00:00:00.000000000
100,Pagado,2015-10-01,1,70,2015-06-01 00:00:00.000000000
100,Pagado,2016-03-01,1,70,2015-11-01 00:00:00.000000000
200,Pagado,2017-01-01,1,70,2016-04-01 00:00:00.000000000
20,Pagado,2017-02-01,1,70,2017-02-01 00:00:00.000000000
20,Pagado,2017-03-01,1,70,2017-03-01 00:00:00.000000000
20,Pagado,2017-04-01,1,70,2017-04-01 00:00:00.000000000
20,Pagado,2017-05-01,1,70,2017-05-01 00:00:00.000000000
20,Pagado,2017-06-01,1,70,2017-06-01 00:00:00.000000000
100,Pagado,2017-11-01,1,70,2017-07-01 00:00:00.000000000
260,Pagado,2018-12-01,1,70,2017-12-01 00:00:00.000000000
240,Pagado,2019-12-01,1,70,2019-01-01 00:00:00.000000000
140,Pagado,2020-07-01,1,70,2020-01-01 00:00:00.000000000
1140,Pagado,2005-09-01,1,71,2000-03-01 00:00:00.000000000
120,Pagado,2001-12-01,1,73,2001-07-01 00:00:00.000000000
60,Pagado,2002-03-01,1,73,2002-01-01 00:00:00.000000000
100,Pagado,2002-08-01,1,73,2002-04-01 00:00:00.000000000
760,Pagado,2005-11-01,1,73,2002-10-01 00:00:00.000000000
340,Pagado,1999-02-01,1,74,1996-05-01 00:00:00.000000000
380,Pagado,2000-09-01,1,74,1999-03-01 00:00:00.000000000
200,Pagado,2002-02-01,1,80,2001-05-01 00:00:00.000000000
60,Pagado,2002-05-01,1,80,2002-03-01 00:00:00.000000000
100,Pagado,2002-10-01,1,80,2002-06-01 00:00:00.000000000
200,Pagado,2003-08-01,1,80,2002-11-01 00:00:00.000000000
2400,Pagado,1989-12-01,1,88,1980-01-01 00:00:00.000000000
180,Pagado,1990-11-01,1,88,1990-03-01 00:00:00.000000000
240,Pagado,2001-02-01,1,96,2000-03-01 00:00:00.000000000
200,Pagado,2001-12-01,1,96,2001-03-01 00:00:00.000000000
120,Pagado,2004-11-01,1,96,2004-06-01 00:00:00.000000000
300,Pagado,2003-06-01,1,97,2002-04-01 00:00:00.000000000
300,Pagado,2004-09-01,1,97,2003-07-01 00:00:00.000000000
300,Pagado,2005-12-01,1,97,2004-10-01 00:00:00.000000000
1040,Pagado,2002-04-01,1,98,1996-01-01 00:00:00.000000000
780,Pagado,2005-07-01,1,98,2002-05-01 00:00:00.000000000
40,Pagado,2005-09-01,1,98,2005-08-01 00:00:00.000000000
60,Pagado,2004-09-01,1,99,2004-07-01 00:00:00.000000000
120,Pagado,2005-05-01,1,99,2004-12-01 00:00:00.000000000
1100,Pagado,2009-12-01,1,99,2005-06-01 00:00:00.000000000
100,Pagado,2005-04-01,1,100,2004-12-01 00:00:00.000000000
2310,Pagado,1999-02-01,1,112,1979-12-01 00:00:00.000000000
80,Pagado,1999-06-01,1,112,1999-03-01 00:00:00.000000000
2310,Pagado,1999-02-01,1,114,1979-12-01 00:00:00.000000000
20,Pagado,2001-12-01,1,114,2001-12-01 00:00:00.000000000
780,Pagado,2002-05-01,1,114,1999-03-01 00:00:00.000000000
1260,Pagado,2007-08-01,1,114,2002-06-01 00:00:00.000000000
740,Pagado,2010-09-01,1,114,2007-09-01 00:00:00.000000000
120,Pagado,2002-12-01,1,117,2002-01-01 00:00:00.000000000
100,Pagado,2003-10-01,1,117,2003-01-01 00:00:00.000000000
120,Pagado,2004-10-01,1,117,2003-11-01 00:00:00.000000000
100,Pagado,2005-03-01,1,117,2004-11-01 00:00:00.000000000
